locus_tag	name	type	description	functional	strand	rbs_start	rbs_stop	start_position	stop_position	tblist_regulon	tblist_operon	tu_id	functional_category
Rv1032c	trcS	CDS	Two component sensor histidine kinase TrcS		-			1156426	1157955			TU0690	regulatory proteins
Rv1033c	trcR	CDS	Two component transcriptional regulator TrcR		-			1157963	1158736			TU0690	regulatory proteins
Rv1034c	Rv1034c	CDS	Probable transposase (fragment)		-			1158918	1159307			TU0691	insertion seqs and phages
Rv1035c	Rv1035c	CDS	Probable transposase (fragment)		-			1159375	1160061			TU0692	insertion seqs and phages
Rv1036c	Rv1036c	CDS	Probable IS1560 transposase (fragment)		-			1160095	1160433			TU0692	insertion seqs and phages
Rv1037c	esxI	CDS	Putative ESAT-6 like protein EsxI (ESAT-6 like protein 1)		-			1160544	1160828			TU0693	cell wall and cell processes
Rv1038c	esxJ	CDS	ESAT-6 like protein EsxJ (ESAT-6 like protein 2)		-			1160855	1161151			TU0693	cell wall and cell processes
Rv1039c	PPE15	CDS	PPE family protein PPE15		-			1161297	1162472			TU0694	PE/PPE	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1040c	PE8	CDS	PE family protein PE8		-			1162549	1163376			TU0695	PE/PPE	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1041c	Rv1041c	CDS	Probable is like-2 transposase		-			1164572	1165435	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU0696	insertion seqs and phages
Rv1042c	Rv1042c	CDS	Probable is like-2 transposase		-			1165092	1165499			TU0696	insertion seqs and phages
Rv1043c	Rv1043c	CDS	Conserved hypothetical protein		-			1165781	1166806			TU0697	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1044	Rv1044	CDS	Conserved hypothetical protein		+			1167053	1167676			TU0698	conserved hypotheticals	Prediction based on GO and InterPro: information pathways (See Mazandu and Mulder, 2012)
Rv1045	Rv1045	CDS	Hypothetical protein		+			1167673	1168554			TU0698	conserved hypotheticals
Rv1046c	Rv1046c	CDS	Hypothetical protein		-			1168704	1169228			TU0699	unknown
Rv1047	Rv1047	CDS	Probable transposase		+			1169423	1170670			TU0700	insertion seqs and phages
Rv1048c	Rv1048c	CDS	Hypothetical protein		-			1171038	1172153			TU0701	conserved hypotheticals	Prediction based on GO and InterPro: regulatory proteins (See Mazandu and Mulder, 2012)
Rv1049	Rv1049	CDS	Probable transcriptional repressor protein		+	1172380	1172383	1172386	1172832			TU0702	regulatory proteins
Rv1050	Rv1050	CDS	Probable oxidoreductase		+	1172870	1172874	1172881	1173786			TU0703	intermediary metabolism and respiration
Rv1051c	Rv1051c	CDS	Conserved hypothetical protein		-			1173945	1174700			TU0704	conserved hypotheticals	Prediction based on GO and InterPro: regulatory proteins (See Mazandu and Mulder, 2012)
MTB000061	mpr5	ncRNA	Fragment of putative small regulatory RNA		+			1175225	1175315				stable RNAs
Rv1052	Rv1052	CDS	Hypothetical protein		+	1175709	1175715	1175723	1176112			TU0705	conserved hypotheticals
Rv1053c	Rv1053c	CDS	Hypothetical protein		-			1176011	1176286	ChIP-chip indicates SigF|Rv3286c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU0706	conserved hypotheticals
Rv1054	Rv1054	CDS	Probable integrase (fragment)		+			1176928	1177242	ChIP-chip indicates SigF|Rv3286c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU0707	insertion seqs and phages
Rv1055	Rv1055	CDS	Possible integrase (fragment)		+			1177239	1177373			TU0707	insertion seqs and phages
MTB000017	leuX	tRNA	tRNA-Leu (TAA)		+			1177396	1177469				stable RNAs
Rv1056	Rv1056	CDS	Conserved protein		+	1177615	1177620	1177628	1178392			TU0708	conserved hypotheticals	Prediction based on GO and InterPro: insertion seqs and phages (See Mazandu and Mulder, 2012)
Rv1057	Rv1057	CDS	Conserved hypothetical protein		+	1179382	1179388	1179396	1180577			TU0709	conserved hypotheticals
Rv1058	fadD14	CDS	Probable medium chain fatty-acid-CoA ligase FadD14 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)		+	1180670	1180676	1180684	1182315			TU0710	lipid metabolism
Rv1059	Rv1059	CDS	Conserved protein		+			1182391	1183455	Predicted to be in the KstR|Rv3574 regulon (See Kendall et al., 2007).		TU0711	conserved hypotheticals
Rv1060	Rv1060	CDS	Unknown protein		+			1183508	1183981			TU0712	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1061	Rv1061	CDS	Conserved protein		+			1184015	1184878			TU0712	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1062	Rv1062	CDS	Conserved hypothetical protein		+			1184883	1185740			TU0712	conserved hypotheticals
Rv1063c	Rv1063c	CDS	Conserved hypothetical protein		-			1185741	1186823			TU0713	conserved hypotheticals	Prediction based on GO and InterPro: lipid metabolism (See Mazandu and Mulder, 2012)
Rv1064c	lpqV	CDS	Possible lipoprotein LpqV		-			1186904	1187323			TU0714	cell wall and cell processes
Rv1065	Rv1065	CDS	Conserved hypothetical protein		+	1187424	1187427	1187435	1188001			TU0715	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1066	Rv1066	CDS	Conserved hypothetical protein		+	1187987	1187991	1187998	1188393			TU0715	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1067c	PE_PGRS19	CDS	PE-PGRS family protein PE_PGRS19		-	1190429	1190433	1188421	1190424			TU0716	PE/PPE
Rv1068c	PE_PGRS20	CDS	PE-PGRS family protein PE_PGRS20		-	1192158	1192161	1190757	1192148	ChIP-chip indicates SigK|Rv0445c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU0717	PE/PPE
Rv1069c	Rv1069c	CDS	Conserved protein		-			1192510	1194273			TU0718	conserved hypotheticals
Rv1070c	echA8	CDS	Probable enoyl-CoA hydratase EchA8 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)		-	1195050	1195053	1194270	1195043			TU0718	lipid metabolism
Rv1071c	echA9	CDS	Possible enoyl-CoA hydratase EchA9 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)		-	1196101	1196105	1195055	1196092			TU0718	lipid metabolism
Rv1072	Rv1072	CDS	Probable conserved transmembrane protein		+	1196267	1196271	1196279	1197115			TU0719	cell wall and cell processes
Rv1073	Rv1073	CDS	Conserved hypothetical protein		+	1197227	1197230	1197231	1198082			TU0720	conserved hypotheticals
Rv1074c	fadA3	CDS	Probable beta-ketoacyl CoA thiolase FadA3		-	1199379	1199382	1198156	1199373			TU0721	lipid metabolism
Rv1075c	Rv1075c	CDS	Conserved exported protein		-			1199426	1200370			TU0722	cell wall and cell processes
Rv1076	lipU	CDS	Possible lipase LipU		+			1200767	1201660	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU0723	intermediary metabolism and respiration
Rv1077	cbs	CDS	Probable cystathionine beta-synthase Cbs (serine sulfhydrase) (beta-thionase) (hemoprotein H-450)		+			1201717	1203111			TU0724	intermediary metabolism and respiration
Rv1078	pra	CDS	Probable proline-rich antigen homolog Pra		+	1203300	1203304	1203313	1204035			TU0725	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1079	metB	CDS	Cystathionine gamma-synthase MetB (CGS) (O-succinylhomoserine [thiol]-lyase)		+			1204067	1205233			TU0725	intermediary metabolism and respiration
Rv1080c	greA	CDS	Probable transcription elongation factor GreA (transcript cleavage factor GreA)		-	1205808	1205812	1205304	1205798			TU0726	information pathways
Rv1081c	Rv1081c	CDS	Probable conserved membrane protein		-			1205984	1206418			TU0727	cell wall and cell processes
Rv1082	mca	CDS	Mycothiol conjugate amidase Mca (mycothiol S-conjugate amidase)		+	1206510	1206516	1206520	1207386			TU0728	virulence, detoxification, adaptation
Rv1083	Rv1083	CDS	Conserved hypothetical protein		+			1207383	1207649			TU0728	conserved hypotheticals	Prediction based on GO and InterPro: virulence, detoxification, adaptation (See Mazandu and Mulder, 2012)
Rv1084	Rv1084	CDS	Conserved protein		+			1207636	1209657			TU0728	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1085c	Rv1085c	CDS	Possible hemolysin-like protein		-			1209756	1210484			TU0729	virulence, detoxification, adaptation
Rv1086	Rv1086	CDS	Short (C15) chain Z-isoprenyl diphosphate synthase (Z-FPP synthase) (Z-farnesyl diphosphate synthase) (Z-FPP synthetase) (Z-farnesyl diphosphate synthetase) (geranyltranstransferase) (farnesyl pyrophosphate synthetase)		+			1210595	1211383			TU0730	cell wall and cell processes
Rv1087	PE_PGRS21	CDS	PE-PGRS family protein PE_PGRS21		+	1211549	1211552	1211560	1213863			TU0731	PE/PPE
Rv1087A	Rv1087A	CDS	Conserved hypothetical protein		+			1214040	1214360			TU0732	cell wall and cell processes
Rv1088	PE9	CDS	PE family protein PE9		+	1214502	1214506	1214513	1214947			TU0733	PE/PPE
Rv1089	PE10	CDS	PE family protein PE10		+			1214769	1215131	Predicted to be in the SenX3|Rv0490-RegX3|Rv0491 regulon (See Parish et al., 2003).		TU0733	PE/PPE
Rv1089A	celA2a	CDS	Probable cellulase CelA2a (endo-1,4-beta-glucanase) (endoglucanase) (carboxymethyl cellulase)		+			1215517	1215621			TU0734	intermediary metabolism and respiration
Rv1090	celA2b	CDS	Probable cellulase CelA2b (endo-1,4-beta-glucanase) (endoglucanase) (carboxymethyl cellulase)		+			1215599	1216054			TU0734	intermediary metabolism and respiration
Rv1091	PE_PGRS22	CDS	PE-PGRS family protein PE_PGRS22		+	1216458	1216462	1216469	1219030			TU0735	PE/PPE
Rv1092c	coaA	CDS	Probable pantothenate kinase CoaA (pantothenic acid kinase)		-			1219248	1220186			TU0736	intermediary metabolism and respiration
MTB000074	MTS0858	ncRNA	Putative small regulatory RNA		-			1220388	1220487				stable RNAs
Rv1093	glyA1	CDS	Serine hydroxymethyltransferase 1 GlyA1		+			1220574	1221854			TU0737	intermediary metabolism and respiration
Rv1094	desA2	CDS	Possible acyl-[acyl-carrier protein] desaturase DesA2 (acyl-[ACP] desaturase) (stearoyl-ACP desaturase)		+			1221959	1222786			TU0738	lipid metabolism
Rv1095	phoH2	CDS	Probable PHOH-like protein PhoH2 (phosphate starvation-inducible protein PSIH)		+	1222986	1222990	1222997	1224298			TU0739	intermediary metabolism and respiration
Rv1096	Rv1096	CDS	Possible glycosyl hydrolase		+			1224385	1225260			TU0740	intermediary metabolism and respiration
Rv1097c	Rv1097c	CDS	Probable membrane glycine and proline rich protein		-			1225263	1226144			TU0741	cell wall and cell processes
Rv1098c	fum	CDS	Probable fumarase Fum (fumarate hydratase)		-	1227575	1227579	1226141	1227565			TU0741	intermediary metabolism and respiration
Rv1099c	glpX	CDS	Fructose 1,6-bisphosphatase GlpX		-			1227596	1228684			TU0741	intermediary metabolism and respiration
Rv1100	Rv1100	CDS	Conserved protein		+			1228683	1229384			TU0742	conserved hypotheticals
Rv1101c	Rv1101c	CDS	Conserved membrane protein		-	1230555	1230560	1229391	1230548			TU0743	cell wall and cell processes
Rv1102c	mazF3	CDS	Toxin MazF3		-			1230660	1230971			TU0744	virulence, detoxification, adaptation
Rv1103c	mazE3	CDS	Possible antitoxin MazE3		-			1230971	1231291			TU0744	virulence, detoxification, adaptation
Rv1104	Rv1104	CDS	Possible para-nitrobenzyl esterase (fragment)		+			1231301	1231990			TU0745	intermediary metabolism and respiration
Rv1105	Rv1105	CDS	Possible para-nitrobenzyl esterase (fragment)		+			1232311	1232826			TU0746	intermediary metabolism and respiration
Rv1106c	Rv1106c	CDS	3-beta-hydroxysteroid dehydrogenase		-	1233959	1233962	1232844	1233956	Predicted to be in the IdeR|Rv2711 regulon (See Gold et al., 2001). Predicted to be in the KstR|Rv3574 regulon (See Kendall et al., 2007).		TU0747	intermediary metabolism and respiration
Rv1107c	xseB	CDS	Probable exodeoxyribonuclease VII (small subunit) XseB (exonuclease VII small subunit)		-	1234231	1234235	1233966	1234223			TU0747	information pathways
Rv1108c	xseA	CDS	Probable exodeoxyribonuclease VII (large subunit) XseA (exonuclease VII large subunit)		-			1234213	1235460			TU0747	information pathways
Rv1109c	Rv1109c	CDS	Conserved protein		-			1235457	1236095			TU0747	conserved hypotheticals	Prediction based on GO and InterPro: information pathways (See Mazandu and Mulder, 2012)
Rv1110	lytB2	CDS	Probable LYTB-related protein LytB2		+	3797443	3797446	1236185	1237192			TU0748	cell wall and cell processes
Rv1111c	Rv1111c	CDS	Conserved hypothetical protein		-			1237209	1238192			TU0749	conserved hypotheticals
Rv1112	Rv1112	CDS	Probable GTP binding protein		+			1238255	1239328			TU0750	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1113	vapB32	CDS	Possible antitoxin VapB32		+	1239405	1239408	1239416	1239613			TU0751	virulence, detoxification, adaptation
Rv1114	vapC32	CDS	Possible toxin VapC32. Contains PIN domain.		+			1239610	1239984			TU0751	virulence, detoxification, adaptation
Rv1115	Rv1115	CDS	Possible exported protein		+	1240178	1240180	1240187	1240885			TU0752	cell wall and cell processes
Rv1116	Rv1116	CDS	Hypothetical protein		+			1241003	1241188	ChIP-chip indicates SigK|Rv0445c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU0753	conserved hypotheticals
Rv1116A	Rv1116A	CDS	Conserved hypothetical protein (fragment)		-			1241115	1241390			TU0754	conserved hypotheticals
Rv1117	Rv1117	CDS	Conserved protein		+	1241625	1241627	1241633	1241956			TU0755	conserved hypotheticals	Prediction based on GO and InterPro: regulatory proteins (See Mazandu and Mulder, 2012)
Rv1118c	Rv1118c	CDS	Conserved protein		-			1241971	1242831			TU0756	conserved hypotheticals
Rv1119c	Rv1119c	CDS	Hypothetical protein		-			1242864	1243013			TU0756	conserved hypotheticals
Rv1120c	Rv1120c	CDS	Conserved hypothetical protein		-			1243010	1243504			TU0756	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1121	zwf1	CDS	Probable glucose-6-phosphate 1-dehydrogenase Zwf1 (G6PD)		+	1243695	1243699	1243707	1245107			TU0757	intermediary metabolism and respiration
Rv1122	gnd2	CDS	Probable 6-phosphogluconate dehydrogenase, decarboxylating Gnd2		+	2095195	2095198	1245129	1246151			TU0757	intermediary metabolism and respiration
Rv1123c	bpoB	CDS	Possible peroxidase BpoB (non-haem peroxidase)		-	1247061	1247069	1246144	1247052			TU0758	virulence, detoxification, adaptation
Rv1124	ephC	CDS	Probable epoxide hydrolase EphC (epoxide hydratase)		+	1247122	1247124	1247127	1248077			TU0759	virulence, detoxification, adaptation
Rv1125	Rv1125	CDS	Conserved hypothetical protein		+	1248077	1248079	1248082	1249326			TU0759	conserved hypotheticals
Rv1126c	Rv1126c	CDS	Conserved protein		-			1249330	1249935			TU0760	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1127c	ppdK	CDS	Probable pyruvate, phosphate dikinase PpdK		-	1251412	1251415	1249932	1251404			TU0760	intermediary metabolism and respiration
Rv1128c	Rv1128c	CDS	Conserved hypothetical protein		-			1251617	1252972			TU0761	insertion seqs and phages
Rv1129c	Rv1129c	CDS	Probable transcriptional regulator protein		-			1253074	1254534			TU0762	regulatory proteins
Rv1130	prpD	CDS	Possible methylcitrate dehydratase PrpD		+			1254555	1256135			TU0763	intermediary metabolism and respiration
Rv1131	prpC	CDS	Probable methylcitrate synthase PrpC		+			1256132	1257313			TU0763	intermediary metabolism and respiration
Rv1132	Rv1132	CDS	Conserved membrane protein		+			1257325	1259055	Predicted to be in the KstR|Rv3574 regulon (See Kendall et al., 2007).		TU0763	cell wall and cell processes
Rv1133c	metE	CDS	Probable 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase MetE (methionine synthase, vitamin-B12 independent isozyme)		-	1261353	1261357	1259067	1261346			TU0764	intermediary metabolism and respiration
Rv1134	Rv1134	CDS	Hypothetical protein		+			1261922	1262158			TU0765	conserved hypotheticals
Rv1135c	PPE16	CDS	PPE family protein PPE16		-	1264138	1264141	1262272	1264128			TU0767	PE/PPE
Rv1135A	Rv1135A	CDS	Possible acetyl-CoA acetyltransferase (acetoacetyl-CoA thiolase)		+			1264314	1264556			TU0766	lipid metabolism
Rv1136	Rv1136	CDS	Possible enoyl-CoA hydratase		+			1264606	1264947			TU0768	lipid metabolism
Rv1137c	Rv1137c	CDS	Hypothetical protein		-	1265460	1265463	1265087	1265455			TU0769	conserved hypotheticals
Rv1138c	Rv1138c	CDS	Possible oxidoreductase		-			1265472	1266488			TU0769	intermediary metabolism and respiration
Rv1139c	Rv1139c	CDS	Conserved hypothetical membrane protein		-	1266993	1266998	1266485	1266985			TU0769	cell wall and cell processes
Rv1140	Rv1140	CDS	Probable integral membrane protein		+			1267347	1268195			TU0770	cell wall and cell processes
Rv1141c	echA11	CDS	Probable enoyl-CoA hydratase EchA11 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)		-	1269018	1269021	1268203	1269009			TU0771	lipid metabolism
Rv1142c	echA10	CDS	Probable enoyl-CoA hydratase EchA10 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)		-			1269152	1269958			TU0772	lipid metabolism
